Board Size, Posting Constraints, Labeling Time
10,0.03,0.04
15,0.03,0.08
20,0.14,0.05
25,0.2,0.12
30,0.19,0.15
35,0.43,0.38
40,0.72,0.49
45,1.26,0.8
50,0.66,2.22
55,0.25,0.98
60,5.05,1.4
65,0.35,3.3
70,4.62,1.85
75,0.75,9.48
80,7.79,2.74
85,0.59,15.92
90,4.31,16.3
95,0.71,19.08
100,0.79,4.48
