Board Size, Posting Constraints, Labeling Time
10,0.05,0.01
15,0.03,0.02
20,0.13,0.08
25,0.2,0.11
30,0.18,0.14
35,0.48,0.33
40,0.32,0.46
45,1.43,0.79
50,0.53,2.23
55,0.25,0.92
60,2.59,2.33
65,0.34,1.28
70,5.47,7.55
75,0.45,3.17
80,3.25,18.41
85,0.57,2.94
90,0.64,10.86
95,25.99,4.06
100,2.76,7.33


