Board Size, Posting Constraints, Labeling Time
10,0.0,0.09
15,0.0,0.0
20,0.01,0.11
25,0.0,0.01
30,0.04,0.09
35,0.03,0.07
40,0.01,0.19
45,0.06,0.08
50,0.04,0.18
55,0.05,0.14
60,0.02,0.15
65,0.06,0.19
70,0.06,0.42
75,0.04,0.32
80,0.05,0.78
85,0.08,0.71
90,0.08,0.68
95,0.09,0.85
100,0.1,1.22
