Board Size, Posting Constraints, Labeling Time
10,0.01,0.07
15,0.03,0.03
20,0.04,0.07
25,0.07,0.13
30,11.44,0.13
35,0.09,0.24
40,0.11,0.35
45,0.14,0.5
50,2.06,1.08
55,34.43,1.5
60,0.41,1.52
65,0.47,4.03
70,0.4,6.2
75,2.14,38.51
80,0.6,3.56
85,0.58,4.46
90,19.56,4.51
95,7.72,102.13
