Board Size, Posting Constraints, Labeling Time
6,0.01,0.0
7,0.01,0.0
8,0.01,0.0
9,0.02,0.0
10,0.04,0.01
11,0.02,0.0
12,0.01,0.0
13,0.04,0.01
14,0.12,0.04
15,0.02,0.01
