10,0.03,0.0
15,0.02,0.04
20,0.03,0.03
25,0.04,0.07
30,0.06,0.13
35,0.09,0.16
40,0.11,0.42
45,0.14,0.38
50,0.18,0.5
55,0.21,0.67
60,0.26,0.93
65,0.29,1.11
70,0.36,1.39
75,0.41,1.76
80,0.45,9.33
85,0.52,2.69
90,0.58,4.12
95,0.81,28.55
100,0.84,16.04


