Board Size, Posting Constraints, Labeling Time
10,0.01,0.03
15,0.02,3.09
20,0.03,0.03
25,0.05,0.05
30,0.07,0.09
35,6.54,0.17
40,0.11,0.28
45,0.13,0.41
50,1.58,0.42
55,1.73,32.31
60,0.26,0.74
65,0.33,2.1
70,0.39,3.75
75,0.45,27.96
80,0.5,1.81
85,0.56,2.1
90,14.29,2.23
95,6.12,70.29
